LINE_ID,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,RATING_MW
l_6502,N_23914,N_141301,0.000325,0.003069,0.06831033,403.700717
l_6503,N_23920,N_23922,0.00138,0.02367,0.52398026,300
l_6504,N_23920,N_23926,0.00112,0.01124,0.24170795,604.935453
l_6505,N_23920,N_23928,0.00159,0.01592,0.34679524,604.935453
l_6506,N_23920,N_141607,0.00006,0.00125,0.03204924,557.3996885
l_6507,N_23920,N_143902,0.0000408,0.000250647,0.00378087,213.6844215
l_6508,N_23922,N_59904,0.00076,0.01601,0.35520588,573.2449433
l_6509,N_23922,N_59904,0.00077,0.01599,0.35520588,573.2449433
l_6510,N_23922,N_141201,6.81E-04,0.005118,0.11349793,336.3583841
l_6511,N_23922,N_141402,0.001435,0.010951,0.24149899,336.3583841
l_6512,N_23922,N_141503,0.0000211,0.00019219,0.00399636,258.452548
l_6516,N_23926,N_59156,0.00001,0.00002,0.00105133,604.935453
l_6517,N_23926,N_59156,0.00001,0.00002,0.00105133,604.935453
l_6518,N_23928,N_23930,0.00043,0.00434,0.09458052,604.935453
l_6519,N_23928,N_59178,0.00001,0.0004,0.00105133,604.935453
l_6520,N_23928,N_59178,0.00001,0.0004,0.00105133,604.935453
l_6521,N_23930,N_59196,0.00001,0.00005,0.00105133,604.935453
l_6522,N_23930,N_59196,0.00001,0.00005,0.00105133,604.935453
l_6579,N_33728,N_142612,0.0000763,0.00042155,0.00031344,123.217622
l_7857,N_59110,N_59114,0.0047343,0.035658,0.02585227,118.6550893
l_7858,N_59110,N_59175,0.0082294,0.028694,0.02080458,118.6550893
l_7859,N_59114,N_59144,0.0060029,0.044732,0.03247369,132.072715
l_7860,N_59114,N_142712,0,0.0001,0,164.1427304
l_7861,N_59114,N_142715,0,0.0001,0,164.1427304
l_7862,N_59116,N_59120,0.003045,0.0177,0.03541219,153.014578
l_7863,N_59116,N_59124,0.00078639,0.0086299,0.04130225,204.9046044
l_7864,N_59116,N_142711,0.0000317,0.00019206,0.0005224,153.0119005
